"","bivalve_ID","Date","shelf","tank","experiment_stage","timepoint","treatment","epf_ph","discolored","TankID","DateWC","PCO2","Sal_Corr","pH","Temp","Collection_Code","pHadj","day_code","day_coden"
"13",17014,2017-05-09,5,2,"acclimation","Acclimation_1","acclimation",7.536121122,"no",14,2017-05-08,900,29.95577966,7.834586466,16.5,"RRR",-0.298465344,0,0
"14",17016,2017-05-09,5,1,"acclimation","Acclimation_1","acclimation",7.587451813,"no",13,2017-05-08,900,29.95577966,7.851503759,16.5,"RSI",-0.264051945999999,0,0
"15",17017,2017-05-17,1,1,"acclimation","Acclimation_2","acclimation",7.424361493,"no",1,2017-05-17,400,29.14107207,7.635687732,16.3,"RRR",-0.211326239,8,8
"16",17018,2017-05-09,1,3,"acclimation","Acclimation_1","acclimation",7.787071168,"no",3,2017-05-08,400,30.05552144,7.789473684,16.95,"ILIV",-0.00240251600000008,0,0
"17",17019,2017-08-22,4,1,"exposure","Experiment_7","2800",7.149451818,"no",10,2017-08-21,2800,31.26162614,7.06133829,18.9,"RRR",0.0881135280000001,105,105
"18",17020,2017-06-05,3,3,"exposure","Experiment_2","900",7.702493853,"no",9,2017-06-05,900,30.52271327,7.332082552,17.4,"ILIV",0.370411301,27,27
"19",17022,2017-06-26,4,3,"exposure","Experiment_5","2800",7.275862069,"no",12,2017-06-26,2800,31.312833,7.312849162,16.6,"RRR",-0.0369870929999996,48,48
"20",17023,2017-06-05,4,2,"exposure","Experiment_2","2800",6.971209268,"no",11,2017-06-05,2800,30.52271327,7.101313321,18.2,"ILIV",-0.130104053,27,27
"21",17024,2017-06-02,1,2,"exposure","Experiment_1","400",7.426769053,"no",2,2017-06-02,400,29.4303335628,7.713483146,17.5,"RSI",-0.286714093,24,24
"22",17025,2017-05-17,4,1,"acclimation","Acclimation_2","acclimation",7.742632613,"no",10,2017-05-17,2800,29.34135435,7.741635688,18.5,"RRR",0.000996924999999926,8,8
"23",17026,2017-06-06,6,1,"exposure","Experiment_3","2800",6.775432293,"yes",16,2017-06-06,2800,30.15670292,7.095327103,17.8,"ILIV",-0.31989481,28,28
"24",17027,2017-08-22,3,2,"exposure","Experiment_7","900",7.55914599,"no",8,2017-08-21,900,31.22782979,7.568773234,19.4,"RSI",-0.00962724399999981,105,105
"25",17028,2017-06-26,1,3,"exposure","Experiment_5","400",7.66091954,"no",3,2017-06-26,400,31.312833,7.972067039,17.5,"RRR",-0.311147499,48,48
"26",17029,2017-08-22,5,1,"exposure","Experiment_7","900",7.443739181,"no",13,2017-08-21,900,31.22782979,7.568773234,18.9,"ILIV",-0.125034053,105,105
"27",17030,2017-06-26,5,1,"exposure","Experiment_5","900",7.448275862,"no",13,2017-06-26,900,31.212792,7.726256983,16.8,"RSI",-0.277981121,48,48
"28",17031,2017-06-13,5,1,"exposure","Experiment_4","900",7.201535122,"no",13,2017-06-12,900,30.19530183,7.562141491,17.9,"RRR",-0.360606369,35,35
"29",17032,2017-06-06,3,2,"exposure","Experiment_3","900",7.397312097,"no",8,2017-06-06,900,30.15670292,7.504672897,17.5,"ILIV",-0.107360799999999,28,28
"30",17034,2017-05-17,5,1,"acclimation","Acclimation_2","acclimation",7.076620825,"yes",13,2017-05-17,900,29.34135435,7.775092937,17.5,"RRR",-0.698472112,8,8
"31",17035,2017-05-09,5,3,"acclimation","Acclimation_1","acclimation",7.519010892,"no",15,2017-05-08,900,29.98902692,7.840225564,16.4,"ILIV",-0.321214672,0,0
"32",17036,2017-06-06,4,3,"exposure","Experiment_3","2800",7.915545268,"yes",12,2017-06-06,2800,30.12312085,7.095327103,17.1,"RSI",0.820218165,28,28
"33",17037,2017-05-17,1,2,"acclimation","Acclimation_2","acclimation",7.689587426,"no",2,2017-05-17,400,29.30797397,7.663568773,16.1,"ILIV",0.0260186530000004,8,8
"34",17040,2017-06-06,4,2,"exposure","Experiment_3","2800",6.832686217,"no",11,2017-06-06,2800,30.15670292,7.095327103,17,"ILIV",-0.262640886,28,28
"35",17041,2017-07-24,6,3,"exposure","Experiment_6","2800",7.213051823,"no",18,2017-07-24,2800,30.64318919,7,19.1,"RSI",0.213051823,76,76
"36",17042,2017-07-24,5,1,"exposure","Experiment_6","900",7.552783109,"no",13,2017-07-24,900,30.54304805,7.548571429,18.9,"RRR",0.00421168000000005,76,76
"37",17043,2017-08-24,6,1,"exposure","Experiment_7","2800",7.277013752,"no",16,2017-08-23,2800,31.49498182,6.96641791,19.5,"ILIV",0.310595842000001,107,107
"38",17045,2017-06-06,6,2,"exposure","Experiment_3","2800",6.959609538,"no",17,2017-06-06,2800,30.22386707,7.089719626,17.5,"RRR",-0.130110088,28,28
"39",17046,2017-06-02,3,1,"exposure","Experiment_1","900",7.449713595,"no",7,2017-06-02,900,29.3974137299,7.713483146,16.7,"ILIV",-0.263769550999999,24,24
"40",17047,2017-05-09,6,1,"acclimation","Acclimation_1","acclimation",7.330798358,"no",16,2017-05-08,2800,30.05552144,7.783834586,15.3,"RSI",-0.453036228,0,0
"41",17048,2017-06-26,5,3,"exposure","Experiment_5","900",7.396551724,"no",15,2017-06-26,900,31.312833,7.709497207,16.8,"RRR",-0.312945483,48,48
"42",17049,2017-06-05,2,2,"exposure","Experiment_2","400",7.046065171,"no",5,2017-06-05,400,30.52271327,7.787992495,17.9,"ILIV",-0.741927324,27,27
"43",17050,2017-06-06,6,3,"exposure","Experiment_3","2800",7.028790732,"no",18,2017-06-06,2800,30.12312085,7.078504673,17.5,"RSI",-0.0497139410000003,28,28
"44",17051,2017-08-24,4,1,"exposure","Experiment_7","2800",6.858546169,"no",10,2017-08-23,2800,31.49498182,6.98880597,19.8,"RRR",-0.130259800999999,107,107
"45",17052,2017-07-24,2,2,"exposure","Experiment_6","400",7.443378119,"no",5,2017-07-24,400,30.64318919,7.805714286,18,"ILIV",-0.362336167,76,76
"46",17053,2017-06-26,4,1,"exposure","Experiment_5","2800",7.517241379,"no",10,2017-06-26,2800,31.112751,7.290502793,16.6,"RSI",0.226738586,48,48
"47",17054,2017-06-05,4,3,"exposure","Experiment_2","2800",7.88099639,"no",12,2017-06-05,2800,30.52271327,7.106941839,18.8,"RRR",0.774054551,27,27
"48",17055,2017-05-17,1,3,"acclimation","Acclimation_2","acclimation",7.660117878,"no",3,2017-05-17,400,29.24121321,7.607806691,16.2,"RSI",0.0523111869999999,8,8
