"RNA17005" "RNA17007" "RNA17013" "RNA17019" "RNA17069" "RNA17070" "RNA17072" "RNA17079" "RNA17090" "RNA17094" "RNA17099" "RNA17108" "RNA17122" "RNA17130" "RNA17142" "RNA17145" "RNA17162" "RNA17174" "RNA17176" "RNA17178" "RNA17181" "RNA17203" "RNA17211" "RNA17213"
"LOC111099160" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099161" 0 1 0 1 1 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"LOC111099162" 2 2 4 0 3 2 3 2 2 1 0 0 1 1 0 1 0 2 3 1 0 5 1 0
"LOC111099163" 1 0 4 0 0 0 0 1 8 18 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"LOC111099164" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099165" 2 1 4 0 0 1 1 2 5 0 4 0 0 0 0 2 3 2 2 1 0 5 2 2
"LOC111099166" 2 1 0 4 1 1 4 6 1 2 4 4 3 0 1 0 2 1 0 3 1 0 3 1
"LOC111099167" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0
"LOC111099168" 0 1 0 0 3 1 0 1 3 2 0 4 1 0 0 0 0 0 0 0 0 1 0 0
"LOC111099169" 3 3 0 11 0 5 1 0 12 1 1 8 2 2 21 1 0 13 0 6 2 5 2 1
"LOC111099170" 0 4 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 4 0 0 0 0 0 0
"LOC111099171" 1 4 0 3 1 1 3 2 0 4 1 3 2 3 1 3 0 1 0 2 1 0 1 4
"LOC111099172" 22 8 3 3 7 9 11 2 8 10 10 5 15 7 10 7 7 14 15 7 3 6 10 23
"LOC111099173" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099174" 0 1 1 0 2 0 1 0 0 0 2 0 1 9 0 1 0 1 2 1 0 0 0 0
"LOC111099175" 1 0 6 3 2 2 3 1 1 1 1 2 3 1 0 0 3 1 1 1 3 0 2 2
"LOC111099176" 2 0 1 0 0 2 1 0 2 0 0 2 1 2 0 0 0 3 0 1 0 3 1 2
"LOC111099177" 0 0 1 0 2 1 0 0 0 0 0 1 0 0 1 1 1 1 2 0 1 3 0 2
"LOC111099178" 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1
"LOC111099179" 5 0 0 1 1 3 1 1 0 0 0 0 0 2 0 0 2 0 1 0 8 0 0 0
"LOC111099180" 13 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 2 0 1
"LOC111099181" 4 2 10 0 2 1 0 0 5 0 6 1 6 5 2 1 1 5 3 1 2 4 0 3
"LOC111099182" 0 2 0 1 3 2 1 2 4 4 2 3 3 1 2 2 2 0 6 3 2 8 7 4
"LOC111099183" 0 0 4 0 2 3 0 0 0 2 3 0 2 0 0 1 0 2 0 2 0 1 1 1
"LOC111099184" 2 0 0 4 2 1 1 0 2 1 1 2 3 0 1 1 3 1 3 3 3 0 3 1
"LOC111099185" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0
"LOC111099186" 0 0 1 0 1 0 0 0 0 0 0 2 0 3 0 0 0 2 0 2 1 0 1 1
"LOC111099187" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099188" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099189" 3 3 0 0 4 1 0 0 2 0 0 0 0 1 0 0 2 2 0 0 0 0 0 3
"LOC111099190" 0 0 0 0 0 3 1 1 1 1 0 1 1 1 0 0 0 1 2 2 0 0 1 0
"LOC111099191" 0 2 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"LOC111099192" 0 0 0 3 0 0 0 0 1 10 0 0 3 0 0 0 1 1 2 0 0 0 0 2
"LOC111099193" 0 1 0 0 0 3 0 1 0 1 0 1 1 0 0 0 1 1 0 0 2 1 1 1
"LOC111099194" 19 12 24 9 39 21 22 16 24 20 29 23 56 17 12 13 10 29 23 27 19 20 14 39
"LOC111099195" 0 1 0 0 1 5 0 1 0 0 0 0 0 2 2 1 0 2 0 0 0 0 2 0
"LOC111099196" 5 3 8 1 1 12 4 3 2 2 4 3 21 4 3 3 6 3 0 3 2 3 5 8
"LOC111099197" 4 0 0 0 1 1 2 0 1 5 1 1 2 0 0 1 1 1 0 1 0 0 1 2
"LOC111099198" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099199" 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0
"LOC111099200" 0 0 2 1 2 0 0 0 0 1 0 2 0 1 1 0 1 2 0 0 1 0 0 1
"LOC111099201" 1 18 3 1 19 5 1 1 0 0 0 9 1 2 1 0 0 11 0 4 0 4 9 0
"LOC111099202" 0 0 0 0 1 0 0 1 0 0 0 0 1 0 4 0 0 11 0 0 0 8 3 0
"LOC111099203" 3 7 2 1 2 0 1 3 0 4 1 2 0 0 0 5 2 7 2 1 0 4 3 1
"LOC111099204" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099205" 0 0 0 1 0 0 2 1 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 0
"LOC111099206" 0 1 2 0 2 0 1 0 2 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0
"LOC111099207" 0 0 1 0 3 0 1 0 3 0 0 0 0 1 1 0 0 0 0 0 1 0 2 0
"LOC111099208" 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099209" 0 4 0 1 5 0 0 1 2 1 1 1 1 0 0 0 1 1 2 2 2 0 3 2
"LOC111099210" 2 1 2 1 1 1 0 2 0 0 0 0 0 1 0 1 1 1 2 0 0 0 0 1
"LOC111099211" 5 4 4 0 7 2 6 1 4 1 71 0 0 5 2 1 3 6 5 4 1 1 2 1
"LOC111099212" 2 3 2 0 0 2 1 1 3 2 2 1 1 0 0 2 0 2 0 2 1 0 0 4
"LOC111099213" 2 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 9 0 0 2
