"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111099343",4.997970114087,5.08415525712259,4.47791210200413,3.33738006045143,4.25383319980098,4.91290472505914,3.49582235622565,4.6076492876626,4.05061716960805,5.04359701014675,5.83272368950091,3.48191477673952,3.20984631308719,5.02349916912776,4.82773048707848,5.85067333631942,5.02650545903742,3.75351845727447,5.49106870545517,5.8184901115052,4.96610635075136,5.29282413885397,4.18706055202182,4.40933735131704
"LOC111099410",6.95732812958965,5.87265115192888,7.45191689347118,7.10996956434836,7.27936829190812,6.78737384297528,6.30317727828325,5.25972598424229,7.45660952928388,6.73165300383201,6.3891170380253,7.10640564164731,5.53177440797455,5.55401388582654,7.06476968437933,6.03124558196124,7.06603382322405,6.64104372801606,6.91991200425904,5.5774820120014,7.77346127280896,7.32524561654635,6.25744987991322,5.50887302486795
"LOC111099426",6.3516070687017,6.26857982826002,6.95595939880877,6.61039855485784,7.32912132710522,7.2348328199465,6.43442181156151,5.50073408374609,4.898614076163,6.2659894314832,7.81135003870834,5.80384287162688,5.71234665361638,5.76046476329396,6.6642317547956,6.58763893048563,5.94404329884544,5.33848095799563,8.29842362751277,6.64161234942112,6.55106885147251,7.25965727491877,6.25744987991322,6.24583861903416
"LOC111099427",5.52848483078578,4.79464863992761,3.99248527483389,4.92234256117259,5.97004023380039,5.64987031922534,5.08078485694681,3.38525686632615,5.97661658816427,5.04359701014675,5.83272368950091,4.70430719807596,6.0172012351448,4.17550226257281,4.34230365990824,4.7511376627685,3.44154295831626,3.01655286310827,5.49106870545517,4.43997848825147,5.32867643013606,6.08132003366026,5.03505745857677,5.50887302486795
"LOC111099471",7.75878245020757,8.31122416566852,7.28526702406173,7.72969748323019,7.22783799126804,7.52433943714149,6.86505616589137,6.84468848496345,7.28327792639832,7.70656202286918,7.57815086241531,6.65183977818183,6.66927793172449,6.8979682870439,7.06476968437933,6.03124558196124,7.21413246221319,7.58133748189179,7.72136632487696,7.24733341030907,7.51630343331184,7.04284588584563,6.90952657649291,7.83080111975531
"LOC111099478",8.72286287595263,7.60200356198521,6.95595939880877,7.58530757389501,6.93833137407305,6.13529714639559,8.3202507916422,7.77757428910491,7.45660952928388,7.48838185281965,7.52662056177523,7.96304146647613,6.83433717799499,7.06302753331439,6.54393752107789,7.87452007827379,8.12336699829001,7.93938500258581,8.75641327197616,8.38483693405901,7.11294773908063,8.02321707909669,7.6980224712992,9.20931274300905
"LOC111099479",7.85041292567314,7.29714898045679,7.28526702406173,6.96187092535922,6.49087239710183,6.78737384297528,7.19626207436674,7.15784637022308,7.28327792639832,6.82786831909131,7.52662056177523,7.10640564164731,5.08431543100333,7.8759419807139,6.97457187540775,7.15323610633985,6.90097457695356,7.04630020650232,7.28248208364375,7.24733341030907,7.51630343331184,7.71603556957852,7.35698555346413,7.15657128093707
"LOC111099483",6.3516070687017,7.45761365265004,6.79984019689149,5.83988040098061,7.00106712942102,5.64987031922534,6.66574735766796,6.55518186776847,7.15495382942278,6.51752819847916,7.41768619022207,6.65183977818183,6.37977131452951,6.80777047807232,6.87835656014845,6.33610016348966,6.61146795975857,7.36232769995,4.96055398875639,6.51036781614287,7.11294773908063,7.76412985777956,7.29139721183656,7.21669227337464
"LOC111099511",3.41300761336584,5.08415525712259,3.25551968066768,5.21184917836757,4.25383319980098,4.06490781850419,6.30317727828325,5.25972598424229,4.05061716960805,5.78056260431296,4.91518584969289,4.21888037090572,4.79480881380835,5.55401388582654,4.82773048707848,6.19171025415449,5.3160120762324,5.95515231844412,4.11255708220144,3.70301289408526,4.96610635075136,4.64074744227428,4.18706055202182,4.40933735131704
"LOC111099523",4.997970114087,5.53161423409382,6.31441336972125,5.83988040098061,5.3533688733519,5.83044256486717,6.86505616589137,5.70718496121352,5.6355796703292,5.33310362734174,5.65215144385909,5.9844151172687,5.53177440797455,5.94103700893578,6.41269298779963,4.7511376627685,5.94404329884544,5.1320300805282,6.03855650075766,4.92540531542171,4.96610635075136,6.58828002238015,4.18706055202182,6.45996342438701
"LOC111099524",6.22036253542345,5.71218647973564,7.09682193464862,6.88170057667524,7.27936829190812,8.34289256580395,9.18698426077873,8.02911305610088,5.42912879286178,7.85095193220435,7.35997069236578,6.85114858640524,5.53177440797455,6.98285718463041,6.10783840627121,6.03124558196124,9.13270486286934,8.00144597071806,6.4344851770888,7.47560239798219,6.68231338475077,6.22570994299544,7.53755779910596,5.68944527050977
"LOC111099548",4.14997320753205,6.37961114064877,5.91848469339011,4.92234256117259,5.14691799588447,4.55033464567443,5.81775045111301,5.50073408374609,5.81615191597102,5.57411172684553,5.99318836169416,5.06687727746067,11.0321515766108,5.02349916912776,5.72081528316196,6.46734469676791,5.02650545903742,4.60151536382942,5.87809182856441,5.8184901115052,4.48067952358111,5.29282413885397,5.9525952983848,5.06141404789673
