"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111121155",2,2.58496250072116,3,4,2.8073549220576,4,2.58496250072116,2.58496250072116,2.8073549220576,3.32192809488736,3.8073549220576,2.8073549220576,3.70043971814109,4.16992500144231,2.8073549220576,3.58496250072116,3.32192809488736,3.8073549220576,3.90689059560852,1,1,1,2,3
"LOC111121156",5.16992500144231,3.4594316186373,3,4.39231742277876,4.32192809488736,1.58496250072116,3,5.08746284125034,4.4594316186373,2.58496250072116,2.58496250072116,1.58496250072116,3.32192809488736,3.16992500144231,0,2,4.52356195605701,4.85798099512757,5.58496250072116,2,4.64385618977472,3.16992500144231,3.16992500144231,1
"LOC111121168",4.85798099512757,3.90689059560852,4.58496250072116,3.90689059560852,3.90689059560852,4.75488750216347,4,3.32192809488736,4.95419631038687,4.32192809488736,4,3.58496250072116,3.90689059560852,4.08746284125034,3.70043971814109,4.24792751344359,3.58496250072116,5.16992500144231,3.16992500144231,2.32192809488736,2.8073549220576,5.28540221886225,4.75488750216347,5.24792751344359
"LOC111121170",1.58496250072116,3.58496250072116,1.58496250072116,2.8073549220576,2.32192809488736,2.32192809488736,0,3.32192809488736,1,3.4594316186373,3.58496250072116,1,2.58496250072116,2.32192809488736,2,3,1.58496250072116,2.58496250072116,3.58496250072116,0,2,2.8073549220576,1.58496250072116,3.16992500144231
"LOC111121171",0,2,3,2.32192809488736,3.16992500144231,1,2.58496250072116,2.32192809488736,1.58496250072116,2,3.16992500144231,2.32192809488736,4.70043971814109,2.32192809488736,1.58496250072116,1.58496250072116,2,3,2,1,3,2.58496250072116,2.32192809488736,2
"LOC111121175",6.4093909361377,7.08746284125034,6.97727992349992,6.89481776330794,7.11894107272351,7.17990909001493,7.13955135239879,6.90689059560852,7.12928301694497,6.62935662007961,7.29462074889163,6.93073733756289,7.36632221424582,6.4757334309664,6.20945336562895,6.8703647195834,6.96578428466209,7.25738784269265,6.22881869049588,6.32192809488736,6.59991284218713,6.8073549220576,6.8073549220576,7.10852445677817
"LOC111121177",3.32192809488736,2,2.32192809488736,3.4594316186373,2.58496250072116,2.58496250072116,3.90689059560852,4.52356195605701,3.4594316186373,3.70043971814109,2.8073549220576,4.08746284125034,1,3,3.4594316186373,2.58496250072116,4.39231742277876,4.08746284125034,2,2.32192809488736,1.58496250072116,2.32192809488736,4.08746284125034,2.8073549220576
"LOC111121178",7.91288933622996,8.62935662007961,8.11894107272351,8.06069593168755,7.66533591718518,8.24317398347295,7.58496250072116,7.73470962022584,8.21916852046216,8.11374216604919,7.79441586635011,7.74819284958946,7.12928301694497,7.66533591718518,7.55458885167764,7.84549005094437,7.60733031374961,8.21431912080077,7.4757334309664,7.92481250360578,7.67948009950545,7.467605550083,8.12412131182919,8
"LOC111121181",5.04439411935845,1.58496250072116,3.90689059560852,5.4262647547021,5.61470984411521,3.32192809488736,4.90689059560852,6.64385618977472,5.28540221886225,5.61470984411521,4,4.16992500144231,5.55458885167764,4.16992500144231,5.39231742277876,4.58496250072116,4.85798099512757,5.20945336562895,4.75488750216347,4.75488750216347,4.8073549220576,2.58496250072116,5,4.16992500144231
"LOC111121184",5.35755200461808,5.90689059560852,5.08746284125034,5.4594316186373,6.02236781302845,5.52356195605701,5.08746284125034,5.28540221886225,5.35755200461808,5.8073549220576,5.52356195605701,4.64385618977472,6.55458885167764,5.64385618977472,5.08746284125034,4.8073549220576,4.85798099512757,5.70043971814109,4.64385618977472,5.61470984411521,5.88264304936184,5.39231742277876,4.8073549220576,5.7279204545632
"LOC111121192",2,2.8073549220576,3,2,2.8073549220576,2.32192809488736,2.8073549220576,2,3,1,3.8073549220576,2.58496250072116,1.58496250072116,3.16992500144231,2,3.70043971814109,2,3.58496250072116,3.58496250072116,2,2.32192809488736,3.90689059560852,2.32192809488736,3.4594316186373
